Date,Activity Number,Activity Type,Place Name,From Address,From Address Coordinates,Leave Time,POI Address,POI Coordinates,POI GeoID,Duration at POI (minutes),To Address,To Address Coordinates,Arrive Time,Transportation,Feeling,Perception Grid Coordinates,Comments,NDI (Neighborhood Deprivation Index),TES (Tree Equity Score),MHLTH (Mental Health Crude Prevalence)
2024-01-15,1,Work,Office,"123 Main St, Chicago, IL","41.8781,-87.6298",08:30,"UIC Innovation Center, Chicago, IL","41.8745,-87.6589",17031839100,480,"Home, Chicago, IL","41.9021,-87.6654",18:00,Public Transit,Moderately Satisfied and Mildly Calm,"(0.450,0.250)",Regular workday,0.45,67,14.2
2024-01-15,2,Dining,Restaurant,"UIC Innovation Center, Chicago, IL","41.8745,-87.6589",12:30,"Lou Malnati's Pizzeria, Chicago, IL","41.8902,-87.6345",17031840200,60,"UIC Innovation Center, Chicago, IL","41.8745,-87.6589",14:00,Walking,Very Satisfied and Very Calm,"(0.750,0.650)",Great lunch break,0.38,72,12.8
2024-01-16,1,Shopping,Grocery Store,"Home, Chicago, IL","41.9021,-87.6654",10:00,"Whole Foods Market, Chicago, IL","41.9102,-87.6543",17031841300,45,"Home, Chicago, IL","41.9021,-87.6654",11:30,Drove Myself,Mildly Satisfied and Neutral,"(0.350,0.050)",Weekly grocery shopping,0.32,78,11.5
2024-01-16,2,Recreation,Park,"Home, Chicago, IL","41.9021,-87.6654",15:00,"Lincoln Park, Chicago, IL","41.9242,-87.6368",17031842100,90,"Coffee Shop, Chicago, IL","41.9180,-87.6420",17:00,Biking,Very Satisfied and Very Calm,"(0.850,0.800)",Beautiful day at the park,0.28,85,10.2
2024-01-17,1,Healthcare,Clinic,"Home, Chicago, IL","41.9021,-87.6654",09:00,"Northwestern Medical Center, Chicago, IL","41.8960,-87.6190",17031843200,30,"Work Office, Chicago, IL","41.8745,-87.6589",10:30,Drove Myself,Mildly Stressed and Neutral,"(-0.150,-0.350)",Routine checkup,0.41,70,13.5
2024-01-17,2,Work,Meeting,"Work Office, Chicago, IL","41.8745,-87.6589",11:00,"Client Office, Chicago, IL","41.8812,-87.6350",17031844100,120,"Work Office, Chicago, IL","41.8745,-87.6589",14:30,Public Transit,Moderately Satisfied and Mildly Calm,"(0.500,0.300)",Important client meeting,0.36,74,12.1
2024-01-18,1,Recreation,Gym,"Home, Chicago, IL","41.9021,-87.6654",06:30,"LA Fitness, Chicago, IL","41.9085,-87.6598",17031845200,60,"Home, Chicago, IL","41.9021,-87.6654",08:00,Drove Myself,Very Satisfied and Moderately Calm,"(0.650,0.550)",Morning workout,0.35,76,11.8
2024-01-18,2,Shopping,Retail,"Home, Chicago, IL","41.9021,-87.6654",14:00,"Magnificent Mile Shops, Chicago, IL","41.8969,-87.6233",17031846300,180,"Restaurant, Chicago, IL","41.8905,-87.6275",18:30,Public Transit,Moderately Satisfied and Mildly Calm,"(0.450,0.350)",Shopping and dinner,0.30,80,10.9
2024-01-19,1,Social,Friend's House,"Home, Chicago, IL","41.9021,-87.6654",18:00,"Wicker Park, Chicago, IL","41.9092,-87.6773",17031847100,240,"Home, Chicago, IL","41.9021,-87.6654",23:30,Drove Myself,Very Satisfied and Very Calm,"(0.900,0.850)",Fun evening with friends,0.33,77,11.2
2024-01-20,1,Recreation,Museum,"Home, Chicago, IL","41.9021,-87.6654",11:00,"Art Institute of Chicago, Chicago, IL","41.8796,-87.6237",17031848200,150,"Lunch Spot, Chicago, IL","41.8815,-87.6290",14:30,Public Transit,Very Satisfied and Moderately Calm,"(0.750,0.600)",Cultural experience,0.29,82,10.5
2024-01-20,2,Dining,Restaurant,"Lunch Spot, Chicago, IL","41.8815,-87.6290",14:45,"Navy Pier, Chicago, IL","41.8919,-87.6051",17031849100,90,"Home, Chicago, IL","41.9021,-87.6654",17:30,Walking,Moderately Satisfied and Mildly Calm,"(0.550,0.400)",Lakefront walk,0.27,84,9.8
2024-01-22,1,Work,Office,"Home, Chicago, IL","41.9021,-87.6654",08:00,"UIC Innovation Center, Chicago, IL","41.8745,-87.6589",17031839100,480,"Home, Chicago, IL","41.9021,-87.6654",18:30,Public Transit,Mildly Satisfied and Neutral,"(0.250,0.100)",Busy Monday,0.45,67,14.2
2024-01-23,1,Healthcare,Pharmacy,"Work Office, Chicago, IL","41.8745,-87.6589",12:00,"Walgreens Pharmacy, Chicago, IL","41.8780,-87.6610",17031850200,15,"Work Office, Chicago, IL","41.8745,-87.6589",12:45,Walking,Neutral and Neutral,"(0.050,0.050)",Quick errand,0.42,68,13.8
2024-01-23,2,Recreation,Library,"Home, Chicago, IL","41.9021,-87.6654",19:00,"Harold Washington Library, Chicago, IL","41.8758,-87.6289",17031851100,120,"Home, Chicago, IL","41.9021,-87.6654",22:00,Public Transit,Moderately Satisfied and Mildly Calm,"(0.500,0.350)",Evening reading,0.34,75,11.9
2024-01-24,1,Shopping,Electronics Store,"Home, Chicago, IL","41.9021,-87.6654",16:00,"Best Buy, Chicago, IL","41.9145,-87.6490",17031852300,75,"Home, Chicago, IL","41.9021,-87.6654",18:30,Drove Myself,Mildly Satisfied and Neutral,"(0.300,0.100)",Bought new laptop,0.31,79,11.0
